,АЗС №35400 Кичменгский Городок,АЗС №35401 Великий Устюг-1,АЗС №35402 Великий Устюг-2,АЗС №35403 Дунай,АЗС №35404 Нюксеница,АЗС №35405 Борисово-Судское,АЗС №35406 Журавлево,АЗС №35407 Грязовец-1,АЗС №35408 Грязовец-2,АЗС №35409 Савино,АЗС №35410 Сазоново-1,АЗС №35411 Сазоново-2,АЗС №35412 Вытегра,АЗС №35413 Липник,АЗС №35414 Кириллов,АЗС №35415 Погорелово,АЗС №35416 Тарногский Городок,АЗС №35417 Барское,АЗС №35418 Бабаево,АЗС №35419 Молочное,АЗС №35420 Шексна,АЗС №35421 Кадуй,АЗС №35422 с. Бабушкина,АЗС №35423 Никольск-1,АЗС №35424 Никольск-2,АЗС №35425 Козловка,АЗС №35426 Сямжа,АЗС №35427 Марьинское,АЗС №35428 Ананино,АЗС №35429 Чекшино-1,АЗС №35430 Чекшино-2,АЗС №35431 Тотьма,АЗС №35432 Ботово,АЗС №35433 Сокол,АЗС №35434 Верховажье,АЗС №35435 Устюжна,АЗС №35436 Вожега,АЗС №35437 Харовск,АЗС №35438 Московское шоссе,АЗС №35439 Козленская,АЗС №35440 Мудрова,АЗС №35441 Преображенского,АЗС №35442 Гагарина (Вологда),АЗС №35443 Маршала Конева-1,АЗС №35444 Маршала Конева-2,АЗС №35445 Чернышевского-1,АЗС №35446 Чернышевского-2,АЗС №35447 Ленинградская,АЗС №35448 Водников,АЗС №35449 Нелазское,АЗС №35450 Кирилловское шоссе-1,АЗС №35451 Кирилловское шоссе-2,АЗС №35452 Металлургов,АЗС №35453 Рыбинская,АЗС №35454 Октябрьский пр.-1 (Вологда),АЗС №35455 Октябрьский пр.-2 (Вологда),АЗС №35456 Маяковская,АЗС №35457 Краснодонцев,АЗС №35458 Северсталь,АЗС №35459 Олимпийская,АЗС №35460 Северное шоссе-1,АЗС №35461 Северное шоссе-2,АЗС № 35462 Аксеново,Нефтебаза
АЗС №35437 Харовск,507068.5,477899.8,480523.8,343278.1,343603.8,415073.4,481105.3,158311.9,155696.2,240493.6,420512.1,420024.4,430822.6,274174.0,231833.7,186786.6,273115.0,87886.7,406391.1,119796.5,192615.8,282462.5,270695.6,446501.6,443131.3,460084.7,52951.0,110002.9,505731.5,99824.6,99820.3,237003.8,225545.3,75437.3,160631.5,352805.1,70696.9,0.0,117741.9,114467.5,111158.8,116462.6,116126.0,116226.4,116990.6,107031.8,108192.3,115577.5,113158.4,249617.0,242788.4,242059.9,246884.8,241843.9,248198.6,248112.7,245138.2,246867.9,248895.1,248870.4,242078.4,243565.4,140792.5,115742.4
АЗС №35438 Московское шоссе,480107.1,450938.3,453562.4,316316.6,316642.4,310960.4,454143.9,42816.2,40200.6,213532.1,316399.1,315911.4,332000.9,175352.3,133012.0,159825.1,333669.3,29934.3,302278.1,20974.8,88502.8,178349.4,243734.1,419540.1,416169.8,433123.3,120246.4,17375.0,478770.0,71810.6,71779.6,210042.4,121432.3,42423.7,228717.5,248692.1,181025.9,117809.3,0.0,4184.6,10545.8,10607.7,10271.1,5559.5,6323.7,10852.3,9910.0,9722.6,8293.7,145504.0,138675.4,137946.9,142771.8,137730.8,144085.5,143999.7,141025.2,142754.8,144782.1,144757.4,137965.3,139452.4,36679.5,5862.1
АЗС №35439 Козленская,476697.3,447528.6,450152.6,312906.9,313232.6,308445.7,450734.1,44973.7,42358.0,210122.4,313884.5,313396.8,328591.2,171942.6,129602.3,156415.4,330259.5,26524.5,299763.5,17565.0,85988.2,175834.8,240324.4,416130.4,412760.1,429713.5,116836.7,13965.3,475360.3,68400.9,68369.8,206632.6,118917.6,39013.9,225307.8,246177.5,177616.1,114399.6,4403.7,0.0,7136.0,8095.2,7758.6,2888.2,3652.4,7442.6,6500.3,7210.2,4884.0,142989.4,136160.8,135432.3,140257.2,135216.2,141570.9,141485.0,138510.6,140240.2,142267.5,142242.8,135450.7,136937.8,34164.9,1731.7
АЗС №35440 Мудрова,474136.2,444967.4,447591.5,310345.7,310671.5,309594.8,448173.0,51093.6,48478.0,207561.2,315033.6,314545.9,328813.7,172165.2,129824.8,153854.3,327698.4,23963.4,300912.5,17787.6,87137.3,176983.9,237763.2,413569.2,410198.9,427152.4,114275.5,12815.3,472799.1,65839.7,65808.7,204071.5,120066.7,36452.8,222746.6,247326.6,175055.0,111838.4,10523.7,7249.2,0.0,9244.3,8907.7,9008.2,9772.3,4881.4,3939.1,8359.3,4012.8,144138.5,137309.9,136581.4,141406.3,136365.3,142720.0,142634.1,139659.7,141389.3,143416.6,143391.9,136599.8,138086.9,35314.0,8524.2
АЗС №35441 Преображенского,478443.1,449274.4,451898.4,314652.7,314978.4,300503.5,452479.9,48332.1,45716.4,211868.2,305942.2,305454.5,324069.5,167420.9,125080.6,158161.2,332005.3,28270.3,291821.2,13043.3,78045.9,167892.6,242070.2,417876.2,414505.9,431459.3,118582.5,9157.4,477106.1,70146.7,70115.6,208378.4,110975.4,40759.7,227053.6,238235.2,179361.9,116145.4,10111.1,7795.2,8881.8,0.0,1954.1,8250.0,7311.5,9188.4,8246.1,2556.5,8223.6,135047.1,128218.5,127490.0,132314.9,127273.9,133628.6,133542.8,130568.3,132297.9,134325.2,134300.5,127508.4,128995.5,26222.6,9070.1
АЗС №35442 Гагарина (Вологда),478476.2,449307.5,451931.5,314685.7,315011.5,302077.2,452513.0,46646.5,44030.9,211901.3,307515.9,307028.3,325643.2,168994.6,126654.3,158194.3,332038.4,28303.4,293394.9,14617.1,79619.7,169466.3,242103.2,417909.2,414538.9,431492.4,118615.6,10731.2,477139.1,70179.7,70148.7,208411.5,112549.1,40792.8,227086.7,239809.0,179395.0,116178.4,10144.1,7828.3,8914.9,2128.9,0.0,6564.5,5626.0,9221.5,8279.1,871.0,8256.6,136620.9,129792.2,129063.7,133888.7,128847.7,135202.4,135116.5,132142.1,133871.7,135899.0,135874.2,129082.2,130569.2,27796.4,9103.2
АЗС №35443 Маршала Конева-1,478577.5,449408.8,452032.9,314787.1,315112.8,308088.0,452614.4,42195.7,39580.0,212002.6,313526.7,313039.1,330471.4,173822.8,131482.5,158295.6,332139.7,28404.8,299405.7,19445.3,85630.5,175477.1,242204.6,418010.6,414640.3,431593.8,118716.9,16742.0,477240.5,70281.1,70250.1,208512.9,118559.9,40894.2,227188.0,245819.8,179496.3,116279.8,5408.5,2655.1,9016.2,8139.8,6279.4,0.0,874.4,9322.8,8380.5,6466.8,6764.2,142631.7,135803.0,135074.5,139899.5,134858.5,141213.2,141127.3,138152.9,139882.5,141909.8,141885.1,135093.0,136580.1,33807.2,4332.6
АЗС №35444 Маршала Конева-2,479204.2,450035.5,452659.6,315413.8,315739.6,307360.7,453241.1,41468.3,38852.7,212629.3,312799.4,312311.7,330926.7,174278.1,131937.8,158922.3,332766.4,29031.5,298678.4,19900.6,84903.1,174749.8,242831.3,418637.3,415267.0,432220.5,119343.6,16014.6,477867.2,70907.8,70876.8,209139.6,117832.6,41520.9,227814.7,245092.4,180123.0,116906.5,6035.2,3281.8,9643.0,7412.4,5552.0,969.4,0.0,9949.5,9007.2,5739.5,7390.9,141904.3,135075.7,134347.2,139172.1,134131.1,140485.8,140400.0,137425.5,139155.1,141182.4,141157.7,134365.6,135852.7,33079.8,4959.3
АЗС №35445 Чернышевского-1,469486.1,440317.4,442941.4,305695.7,306021.4,309814.5,443522.9,51313.3,48697.7,202911.2,315253.3,314765.6,329033.5,172384.9,130044.5,149204.2,323048.3,19313.3,301132.3,18007.3,87357.0,177203.6,233113.1,408919.2,405548.8,422502.3,109625.5,8165.2,468149.1,61189.7,61158.6,199421.4,120286.4,31802.7,218096.6,247546.3,170404.9,107188.4,10743.4,7468.9,4160.3,9464.0,9127.4,9227.9,9992.1,0.0,1193.7,8579.0,6159.9,144358.2,137529.6,136801.1,141626.0,136585.0,142939.7,142853.9,139879.4,141609.0,143636.3,143611.6,136819.5,138306.6,35533.7,8743.9
АЗС №35446 Чернышевского-2,470165.9,440997.2,443621.2,306375.4,306701.2,309333.0,444202.7,50831.8,48216.1,203591.0,314771.7,314284.0,328551.9,171903.3,129563.0,149884.0,323728.1,19993.1,300650.7,17525.8,86875.5,176722.1,233792.9,409598.9,406228.6,423182.1,110305.3,8845.0,468828.8,61869.4,61838.4,200101.2,119804.9,32482.5,218776.4,247064.7,171084.7,107868.1,10261.8,6987.4,3678.8,8982.5,8645.9,8746.3,9510.5,911.2,0.0,8097.4,5678.3,143876.7,137048.0,136319.5,141144.5,136103.5,142458.2,142372.3,139397.9,141127.5,143154.7,143130.0,136338.0,137825.0,35052.2,8262.3
